Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
H050150	47	37	0	0	0	0	0
H050154	48	0	23	12	35	16	7
H050226	0	13	23	16	12	0	6
H050227	36	26	17	0	23	0	0
H050250	0	12	16	10	0	6	10
H050267	0	18	46	0	19	0	0
H050313	0	0	33	19	38	0	0
H050329	0	28	36	16	0	10	0
H050350	30	0	24	11	0	15	0
H050401	88	0	0	0	0	147	0
H050420	0	36	37	28	21	0	0
H050452	0	0	69	30	0	0	87
H050493	38	29	0	11	0	34	0
H050510	18	0	16	0	19	0	0
H050566	26	0	12	13	0	22	5
H050572	0	21	14	15	0	0	4
H050603	29	0	29	0	0	0	10
H050604	36	22	0	0	0	31	0
H060018	38	15	0	8	0	0	8
H060030	38	0	24	10	0	9	0
H060098	34	29	0	0	11	8	0
H060115	18	23	15	0	0	6	0
H060203	0	48	39	47	0	0	0
H060228	40	26	18	0	0	9	6
H060236	14	0	9	14	0	0	0
H060264	27	0	50	22	29	0	0
H060272	58	0	0	8	22	0	0
H060303	36	0	0	0	15	0	4
H060362	32	0	0	15	0	11	0
H060417	21	18	0	12	17	7	0
H060509	0	17	27	14	24	0	0
H060515	0	19	27	17	29	0	0
H060555	40	14	0	0	0	10	0
H060566	37	0	0	10	0	0	0
H060607	0	0	29	26	0	148	0
H060616	37	0	0	16	0	64	0
H060617	43	42	22	25	0	0	0
H060638	0	48	62	0	25	30	22
H060664	0	11	17	10	19	0	0
H060670	39	18	0	0	28	0	6
H060674	0	26	14	10	10	0	0
H060690	34	46	0	0	0	0	6
H060776	87	57	0	0	0	0	22
H060795	0	31	0	14	15	0	0
H060859	57	20	0	0	16	0	0
H060877	34	0	32	0	25	0	23
H060891	0	0	3	0	0	0	0
H061039	46	22	0	0	18	25	21
H061095	63	0	31	0	0	71	0
H061142	0	52	33	15	25	15	15
H061195	0	28	31	11	23	0	7
H061350	51	0	40	0	33	115	30
H061394	79	0	33	18	0	0	85
H061464	0	17	13	15	10	0	0
H061840	48	0	14	0	0	0	0
H062024	0	0	34	0	0	0	138
H062262	0	0	0	0	35	0	66
H070487	0	0	18	15	15	0	0
H070599	0	17	20	12	25	0	5
H071380	43	32	0	0	0	17	0
H071591	69	0	0	17	0	0	8
H071859	0	0	42	16	0	0	0
H071899	0	21	27	0	22	0	0
H071904	48	21	0	13	0	0	0
H071941	0	15	34	11	0	0	13
H072012	71	75	0	0	0	33	0
H072032	30	0	0	0	20	0	5
H072056	22	17	18	18	0	0	0
H072059	0	0	11	15	0	0	0
H072103	0	30	17	12	13	0	0
H072441	0	0	26	12	32	0	5
H072447	49	0	16	21	20	0	0
H072511	0	79	0	0	0	0	249
H072525	0	0	0	0	0	0	104
H072543	0	18	33	11	0	0	0
H072601	0	14	28	9	0	0	7
H072623	0	0	41	12	13	0	9
H072658	53	62	0	0	21	13	11
H072749	0	35	35	14	39	0	11
H072777	43	0	0	20	12	0	4
H072813	48	0	14	13	13	0	5
H072820	46	0	20	32	15	0	0
H072849	0	48	57	0	0	0	79
H072896	17	10	0	6	10	0	4
H072926	19	11	0	13	0	6	4
H072932	0	10	12	10	12	6	0
H072961	32	0	0	0	20	32	8
H072969	0	0	151	0	0	0	672
H072992	0	27	59	25	17	0	0
H072999	0	32	25	8	22	0	0
H080015	0	32	0	17	18	66	0
H080025	0	77	118	0	0	0	52
H080037	0	27	82	22	0	0	29
H080061	0	25	50	14	16	0	0
H080074	0	19	21	18	0	0	0
H080174	0	44	20	12	0	0	0
H080196	0	0	48	16	23	0	12
H080204	0	0	71	0	0	0	40
H080212	26	0	21	0	0	14	16
H080217	0	23	61	12	16	0	18
H080357	64	42	0	26	0	62	22
H080360	68	0	82	0	0	0	17
H080411	0	54	63	0	0	0	191
H080486	0	0	156	0	0	0	82
H080503	0	0	67	19	0	0	15
H080530	0	33	72	24	0	0	36
H080540	21	0	31	21	0	0	0
H080750	0	0	36	16	20	15	54
H080774	0	15	19	20	13	0	0
H080775	60	0	0	21	0	14	0
H080782	0	0	0	0	0	0	173
H080854	52	32	0	9	0	0	0
H080895	36	53	0	11	0	11	11
H080931	0	0	58	11	0	0	0
H080939	28	67	0	0	21	0	0
H080971	12	0	14	16	7	0	0
H081003	0	0	22	12	19	0	0
H081048	72	32	27	0	0	0	59
H081077	19	32	0	0	20	0	0
H081081	0	0	91	0	0	83	10
H081559	0	0	35	6	0	0	0
H081665	0	0	0	0	0	0	519
H090156	0	0	77	0	0	128	47
H090284	0	0	0	0	0	0	1444
H090285	56	0	30	12	0	0	13
H090515	76	0	0	26	0	41	16
H090528	0	0	28	14	20	0	13
H090745	0	27	86	20	32	0	18
H090798	0	35	40	17	19	0	0
H090866	0	0	0	0	0	277	45
H090901	40	0	30	17	0	0	27
H091225	0	25	27	0	0	9	12
H091227	21	0	0	27	11	0	0
H091269	0	0	22	0	6	0	0
H091309	0	0	11	0	0	0	0
H091449	0	0	0	0	0	81	166
H091469	0	0	37	31	19	0	9
H091504	0	0	3	0	0	0	2
H091547	0	0	42	29	0	0	0
H091616	38	30	19	0	0	0	23
H091652	0	0	6	7	7	0	3
H091665	37	23	0	14	0	50	18
H091689	15	0	0	5	8	0	0
H091730	19	0	17	8	13	9	0
H091794	0	0	63	0	0	0	184
H091831	40	0	20	0	13	0	0
H091867	0	31	0	25	0	44	0
H091869	0	22	0	10	10	22	0
H091908	30	0	16	10	0	0	0
H091920	0	0	32	0	21	0	41
H091972	0	0	7	4	0	0	0
H092093	0	28	94	0	0	0	15
H092293	23	12	0	0	0	0	0
H092431	0	0	48	15	17	52	8
H092452	32	0	16	13	0	0	5
H092489	0	30	26	19	22	0	8
H092610	0	28	36	13	0	0	0
H092773	0	0	40	29	25	11	16
H092789	25	24	24	0	0	0	0
H092933	25	0	21	8	18	11	11
H093001	0	0	22	5	11	0	0
H093002	33	31	25	15	0	23	0
H093006	0	28	29	14	16	11	0
H093030	0	29	15	13	0	11	12
H093032	0	16	15	8	12	28	7
H093134	49	0	16	0	0	0	0
H093295	26	23	15	0	0	9	0
H093428	28	0	19	13	0	12	10
H093471	0	0	10	0	0	0	0
H093528	34	0	12	9	13	7	0
H093609	0	0	0	0	0	0	72
